LFQ intensity KO_I	LFQ intensity KO_II	LFQ intensity KO_III	LFQ intensity WT_I	LFQ intensity WT_II	LFQ intensity WT_III	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
0	399950	0	1034000	1022400	1532200				16	16	16	34.6	34.6	34.6	78.588	0	67.054	42113000	164	A0A8I5ZX44;A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A8I6A050;A0A8I6GM10;A0A096MK70;A0A8I5ZX27;A0A8I6GIW1;A0A096MIY8	A0A8I5ZX44;A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A8I6A050;A0A8I6GM10		Asph	10
0	0	0	0	0	0				3	3	3	15.1	15.1	15.1	34.935	0	6.3919	7078800	36	A0A8I6AN51;A0A096MJB3;M0R565	A0A8I6AN51;A0A096MJB3;M0R565		Wdr82	11
0	0	0	0	0	0				3	3	3	19	19	19	28.723	0.0013338	2.8279	3134700	15	A0A096MJI9;P07340	A0A096MJI9;P07340	Sodium/potassium-transporting ATPase subunit beta-1	Atp1b1	12
0	0	0	0	0	0				1	1	1	3.8	3.8	3.8	52.389	0.0060168	1.9725	423920	1	A0A096MJJ6;A0A8I5Y5I3;A0FKI7	A0A096MJJ6;A0A8I5Y5I3;A0FKI7	Acyl-CoA-binding domain-containing protein 5	Acbd5	13
0	0	0	0	0	0				1	1	1	17.2	17.2	17.2	11.845	0	9.7261	146770	1	A0A8I6A555;A0A096MK96;D3ZXW7;A0A096MJL4;A0A8I6GH36;A0A8I6AQ02;A0A0G2K920	A0A8I6A555;A0A096MK96;D3ZXW7;A0A096MJL4;A0A8I6GH36;A0A8I6AQ02;A0A0G2K920		Tlk1	14
0	0	0	0	0	0				4	4	4	9.7	9.7	9.7	84.429	0	9.9875	5380300	26	A0A8I6A8V8;A0A096MJM8;F7FJR8	A0A8I6A8V8;A0A096MJM8;F7FJR8		Las1l	15
289110	0	0	127450	0	0				3	3	3	16.9	16.9	16.9	33.474	0	12.801	3261300	18	A0A8I5ZWA8;A0A096MJP4;Q4KM37	A0A8I5ZWA8;A0A096MJP4;Q4KM37	Centrosomal protein of 41 kDa	Cep41	16
281260	0	0	371600	453010	0				8	8	8	21.2	21.2	21.2	59.267	0	11.661	15160000	65	Q66H50;A0A096MJW2;A0A0H2UHL1	Q66H50;A0A096MJW2;A0A0H2UHL1	Fatty acyl-CoA reductase 1	Far1	17
0	0	0	0	0	0				2	2	2	0.4	0.4	0.4	775.8	0.0027924	2.2349	21162000	21	A0A0G2K296;A0A096MJX4	A0A0G2K296;A0A096MJX4		Fsip2	18
0	0	0	0	0	0				4	3	3	14.2	11.2	11.2	62.957	0.00038565	4.4429	1968600	10	A0A096MJY1;A0A8I6A609	A0A096MJY1;A0A8I6A609		Gpc6	19
0	0	0	0	0	0				4	4	4	8.8	8.8	8.8	74.417	0	7.8594	2869300	14	A0A096MJY6;A0A0G2JTB2	A0A096MJY6;A0A0G2JTB2		Gbe1	20
0	0	0	0	0	0				2	2	2	6.9	6.9	6.9	50.605	0.00073073	3.8169	1821000	7	A0A096MJY7;B2GV58;A0A0G2JUK2	A0A096MJY7;B2GV58;A0A0G2JUK2		Lsm14a	21
1947400	1933900	2886100	2147100	1828700	1703300				9	9	9	44.1	44.1	44.1	41.114	0	45.543	93163000	205	A0A8I6A0J1;F1LS48;A0A096MJY8;Q5XI22;A0A8I6AFP7;D3ZKB6;A0A0G2JUB4	A0A8I6A0J1;F1LS48;A0A096MJY8;Q5XI22;A0A8I6AFP7;D3ZKB6;A0A0G2JUB4	Acetyl-CoA acetyltransferase, cytosolic	RGD1562948;Acat2	22
300080	0	0	302660	283180	0				9	9	9	11.8	11.8	11.8	162.73	0	16.493	13489000	66	F1LRJ6;A0A096MK13;O89042	F1LRJ6;A0A096MK13;O89042	DNA polymerase;DNA polymerase alpha catalytic subunit	Pola1	23
0	0	0	0	0	0				5	5	5	7.7	7.7	7.7	140.76	0	6.9944	2996000	13	A0A096MK54;G3V9G5	A0A096MK54;G3V9G5		Synm	24
1602900	642850	0	571830	752170	0				6	6	6	20.7	20.7	20.7	28.868	0	7.8204	27233000	73	P19511;A0A096MK68;A0A096MJ25	P19511;A0A096MK68;A0A096MJ25	ATP synthase F(0) complex subunit B1, mitochondrial	Atp5f1	25
0	0	4327600	0	0	1496500				5	5	4	25	25	18.6	16.333	0	54.522	28015000	107	A0A096MK73;P13668;A0A8I5ZX99	A0A096MK73;P13668	Stathmin	Stmn1	26
1026900	0	0	963730	490600	0				4	4	4	32.2	32.2	32.2	20.763	0	19.189	21226000	72	A0A0G2KA61;A0A096MKB7;P67874	A0A0G2KA61;A0A096MKB7;P67874	Casein kinase II subunit beta	Csnk2b	27
0	0	0	0	0	0				3	3	3	19.8	19.8	19.8	20.895	0	9.5847	3835200	16	A0A096MKE2;D4A719;A0A096MJN6	A0A096MKE2;D4A719;A0A096MJN6		Snx12	28
0	0	0	0	0	0				3	3	3	7.9	7.9	7.9	65.213	0	8.3245	2260700	13	A0A096MKE5;M0R440;A0A0G2K9Y9;A0A8I6AKW1	A0A096MKE5;M0R440;A0A0G2K9Y9		LOC682914	29
0	0	0	0	0	0				6	6	6	9.9	9.9	9.9	106.82	0	5.7439	2885600	9	F7FP17;A0A096MKE9;A0A0G2JV76	F7FP17;A0A096MKE9;A0A0G2JV76	DNA ligase	Lig3	30
329010	472560	0	725000	500500	459860				8	8	8	9.9	9.9	9.9	128.07	0	23.718	21711000	96	A0A0G2QC27;A0A096MKG2;A0A8I5ZY88	A0A0G2QC27;A0A096MKG2		Nol6	31
0	0	0	0	0	0				3	3	3	13.4	13.4	13.4	34.305	0	7.0209	2244400	12	A0A8I6A9S4;A0A096MKH4	A0A8I6A9S4;A0A096MKH4		Ube2j1	32
0	0	0	0	0	0				2	2	2	0.8	0.8	0.8	187.48	0.0060096	1.962	1869600	8	A0A0G2K0S5;A0A8I6GEW4;A0A096P6L2;Q8VIG2	A0A0G2K0S5;A0A8I6GEW4;A0A096P6L2;Q8VIG2	Meiosis arrest female protein 1	LOC678813;Marf1	33
303360	97588	92265	4177500	87489	39543				56	56	2	36.3	36.3	1.4	272.44	0	323.31	195720000	674	A0A096P6L8;F1LST1;A0A8I5ZXR2;P04937	A0A096P6L8;F1LST1;A0A8I5ZXR2;P04937	Fibronectin;Anastellin	Fn1	34
0	0	0	0	0	0				1	1	1	2.5	2.5	2.5	75.212	0.0030893	2.1846	453270	2	A0A096UWG1	A0A096UWG1		Rfwd2	35
0	0	0	0	0	0				2	2	2	5.5	5.5	5.5	52.18	0.0013405	2.8614	3818800	17	A0A8I5ZJ87;A0A0A0MXT5;Q8CFC1	A0A8I5ZJ87;A0A0A0MXT5;Q8CFC1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA	Mina	36
0	0	0	0	0	0				3	1	1	21.1	8.1	8.1	13.223	0.00070028	3.3336	52113000	83	A0A8I6ASE8;A0A0A0MXW3;D4AEC0;A0A8I5ZYU7;A0A8I6G659;P0C0S7;A0A8I5ZP51;A0A8I5ZWU4;A0A8I6AR37;M0R6X5;A0A8I5ZZV2	A0A8I6ASE8;A0A0A0MXW3;D4AEC0;A0A8I5ZYU7;A0A8I6G659;P0C0S7;A0A8I5ZP51;A0A8I5ZWU4	Histone H2A;Histone H2A.Z	H2afz;H2afv	37
0	0	0	219100	403840	0				8	7	7	18.1	16.5	16.5	52.059	0	8.4166	8233200	34	A0A0A0MXZ8;A0A8I6AI29;A0A8I6APP1;D3ZLZ7;A0A8I6AC45	A0A0A0MXZ8;A0A8I6AI29;A0A8I6APP1;D3ZLZ7;A0A8I6AC45	Inosine-5-monophosphate dehydrogenase;Inosine-5-monophosphate dehydrogenase 1	Impdh1	38
0	0	0	0	0	0				10	10	10	14.9	14.9	14.9	112.34	0	25.55	9994100	77	A0A0A0MY07;A0A0G2K1U1;Q9R085	A0A0A0MY07;A0A0G2K1U1;Q9R085	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 15	Usp15	39
0	0	0	0	0	0				5	4	4	2.6	2.4	2.4	293.63	0.0010159	2.9882	5932700	27	A0A0G2KAH9;A0A0A0MY31;F1LQX8;A0A8J8XAG4;P29994	A0A0G2KAH9;A0A0A0MY31;F1LQX8;A0A8J8XAG4;P29994	Inositol 1,4,5-trisphosphate receptor type 1	Itpr1	40
839390	912020	0	1114900	918610	844610				16	16	8	24.2	24.2	14.9	97.253	0	47.39	47095000	206	A0A0A0MY48;A0A0A0MY49;A0A8I6ADL1;P39052;A0A8I5Y7B6;A0A8I6A1C6;A0A8I6A8P1;A0A8I5ZYS4	A0A0A0MY48;A0A0A0MY49;A0A8I6ADL1;P39052;A0A8I5Y7B6;A0A8I6A1C6	Dynamin-2	Dnm2	41
0	0	0	0	0	0				2	2	2	10.8	10.8	10.8	24.4	0.00038926	4.5425	6609100	31	A0A8I6ASX2;A0A0G2JSG6;P29410;A0A8I5ZQQ9	A0A8I6ASX2;A0A0G2JSG6;P29410;A0A8I5ZQQ9	Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed	Ak2	42
231460	0	0	300460	339840	0				8	8	8	27.9	27.9	27.9	38.333	0	22.802	15761000	133	A0A0G2JSH2;P29147	A0A0G2JSH2;P29147	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	Bdh1	43
452840	1025400	499240	362110	421850	498370				7	7	6	27	27	24.9	47.991	0	16.885	21140000	106	A0A0G2JSH4;P18266;A0A8I6GL38;A0A0G2KB98	A0A0G2JSH4;P18266;A0A8I6GL38;A0A0G2KB98	Glycogen synthase kinase-3 beta	Gsk3b	44
1450800	1324800	0	1024300	891610	541490				9	9	9	55.3	55.3	55.3	19.61	0	60.861	83506000	323	A0A8I6G2K0;A0A0G2JSH9;P35704	A0A8I6G2K0;A0A0G2JSH9;P35704	Peroxiredoxin-2	Prdx2	45
0	376250	0	548920	858000	0				3	3	3	10.5	10.5	10.5	53.562	0	9.6783	9241300	23	A0A0G2JT05;A0A0G2JVB0;A0A0G2JSJ3;Q07647	A0A0G2JT05;A0A0G2JVB0;A0A0G2JSJ3;Q07647	Solute carrier family 2, facilitated glucose transporter member 3	Slc2a3	46
0	1075700	1243500	0	472460	1071600				3	3	3	18.1	18.1	18.1	25.303	0	9.1053	20704000	89	A0A0G2JSL0;P28073	A0A0G2JSL0;P28073	Proteasome subunit beta type-6	Psmb6	47
650670	0	0	513830	502570	975310				7	7	7	25.5	25.5	25.5	40.132	0	18.509	22159000	70	A0A0G2JSL8;A0A0G2K6X9;Q64640	A0A0G2JSL8;A0A0G2K6X9;Q64640	Adenosine kinase	Adk	48
310110	400770	0	327460	0	265840				3	3	3	6.6	6.6	6.6	71.522	0	8.1081	8865600	49	A0A8I6G953;A0A0G2JSM0;Q7TQ20;A0A8I5ZLA9	A0A8I6G953;A0A0G2JSM0;Q7TQ20;A0A8I5ZLA9	DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed	Dnajc2	49
1274800	1119500	514010	659670	580170	643820				18	18	18	42.2	42.2	42.2	77.764	0	118.75	80350000	341	A0A0G2JSM7;Q63028;A0A8I5Y1E2;D3ZZ99;A0A8I6ALT1	A0A0G2JSM7;Q63028;A0A8I5Y1E2;D3ZZ99;A0A8I6ALT1	Alpha-adducin	Add1	50
0	0	0	0	0	0				2	2	2	6	6	6	43.018	0.0027821	2.1933	1169100	1	A0A0G2JSP8;P00564	A0A0G2JSP8;P00564	Creatine kinase M-type	Ckm	51
0	0	0	0	0	0				6	3	3	21.2	10.5	10.5	48.729	0.0036641	2.0861	2037500	4	A0A8I6ADC2;A0A8I6GIT0;A0A8I6GJZ8;A0A8I6AVG4;A0A0G2JSQ0;P56932	A0A8I6ADC2;A0A8I6GIT0;A0A8I6GJZ8;A0A8I6AVG4;A0A0G2JSQ0;P56932	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	Ppp2r2d	52
0	0	0	0	217860	468970				4	4	4	6.1	6.1	6.1	124.21	0	6.535	5648400	26	A0A0G2JSQ9;Q56B11	A0A0G2JSQ9;Q56B11	Proline-, glutamic acid- and leucine-rich protein 1	Pelp1	53
0	0	0	0	0	0				1	1	1	1.7	1.7	1.7	85.392	0.0018732	2.289	535730	3	A0A8I6GLJ7;A0A0G2JXI4;A0A0G2JSR4	A0A8I6GLJ7;A0A0G2JXI4;A0A0G2JSR4			54
1883200	1806500	1062000	2569500	1568900	1194900				17	17	1	28.2	28.2	2.1	94.501	0	143.66	206410000	718	A0A0G2JSR7;A0A8I5ZWP0;A0A8I6GHY8	A0A0G2JSR7			55
1119100	877480	0	1473300	695830	610980				8	8	8	31.6	31.6	31.6	59.371	0	90.43	59676000	255	A0A0G2JSS9;A0A8I6AEN1;A0A8I6AV77;A0A8I6AU74;Q0ZHH6;A0A8I6GLW7;A0A8I6ABV5;A0A8I6GAH6;Q6PST4	A0A0G2JSS9;A0A8I6AEN1;A0A8I6AV77;A0A8I6AU74;Q0ZHH6;A0A8I6GLW7	Atlastin-3	Atl3	56
0	0	0	0	0	0				8	1	1	10.5	1.6	1.6	63.906	0.00070126	3.343	2360200	12	A0A0G2K509;A0A0G2JST3;Q6IMF3	A0A0G2K509;A0A0G2JST3;Q6IMF3	Keratin, type II cytoskeletal 1	Krt1	57
0	0	0	0	0	0				2	2	2	6.5	6.5	6.5	40.631	0.0012723	2.4507	1922900	2	A0A8I6ACP0;A0A0G2JSV0;Q8VBU2	A0A8I6ACP0;A0A0G2JSV0;Q8VBU2	Protein NDRG2	Ndrg2	58
1691100	1702800	0	1434100	1996900	1058900				11	11	5	42.1	42.1	20.1	34.806	0	80.124	91098000	283	A0A0G2JSV3;P60892;M0RBK1;A0A8I6AC83	A0A0G2JSV3;P60892;M0RBK1	Ribose-phosphate pyrophosphokinase 1	Prps1;Prps1l1	59
0	0	0	0	0	0				1	1	1	3.1	3.1	3.1	33.309	0.0045441	2.0358	0	3	A0A0G2JSX1;A0A8I6A8T8;Q499U6	A0A0G2JSX1;A0A8I6A8T8;Q499U6	Non-structural maintenance of chromosomes element 1 homolog	Nsmce1	60
216250	0	758020	0	0	354310				4	4	1	12	12	2.8	70.556	0	22.661	9059200	47	D3ZL24;D4A129;A0A0G2JSY2;A0A8I6GK55;A0A8I6AC75;A0A8I6ADV1;P27321	D3ZL24;D4A129;A0A0G2JSY2;A0A8I6GK55;A0A8I6AC75;A0A8I6ADV1;P27321	Calpastatin	Cast	61
0	0	0	0	0	0				2	2	2	3.3	3.3	3.3	80.376	0.0033773	2.1285	401520	2	A0A0G2JVK4;A0A0G2JSY3;P42676	A0A0G2JVK4;A0A0G2JSY3;P42676	Neurolysin, mitochondrial	Nln	62
0	0	0	0	0	0				3	3	2	21.7	21.7	15.9	20.945	0	7.1527	7031000	34	A0A0G2JSZ1;A0A8I5Y4V8;Q6GQP4;A0A8I6A9D4;A0A8I6AES5	A0A0G2JSZ1;A0A8I5Y4V8;Q6GQP4	Ras-related protein Rab-31	Rab31	63
7907400	5017600	3725100	6226400	4336900	2980600				20	20	20	51.9	51.9	51.9	46.257	0	323.31	670080000	1661	A0A0G2JSZ5;A0A8I6G592;A0A8I6ARL6;A0A8I5Y7R1;Q63081;A0A8I6AJI2	A0A0G2JSZ5;A0A8I6G592;A0A8I6ARL6;A0A8I5Y7R1;Q63081;A0A8I6AJI2	Protein disulfide-isomerase A6	Pdia6	64
0	0	0	0	0	0				1	1	1	5.7	5.7	5.7	23.983	0.003366	2.1034	763640	8	E9PSS2;A0A0G2JSZ9;Q9JK72	E9PSS2;A0A0G2JSZ9;Q9JK72	Superoxide dismutase [Cu-Zn];Copper chaperone for superoxide dismutase	Ccs	65
803040	997440	553180	455690	870200	801590				12	12	12	29.8	29.8	29.8	58.876	0	30.241	36988000	194	A0A0G2JT06;P97834;A0A0G2JW80	A0A0G2JT06;P97834;A0A0G2JW80	COP9 signalosome complex subunit 1	Gps1	66
566650	625910	0	840360	542310	567320				15	15	15	28.6	28.6	28.6	88.196	0	47.646	37481000	191	A0A0G2JXJ2;A0A0G2JT07;Q7TPK1;D3ZK36	A0A0G2JXJ2;A0A0G2JT07;Q7TPK1	E3 ubiquitin-protein ligase UHRF1	Uhrf1	67
20773000	15512000	11733000	42866000	43322000	35304000				19	19	1	63	63	6.1	35.524	0	323.31	3220000000	1995	A0A0G2JT64;A0A8I6ADG6;A0A8I6GHZ0	A0A0G2JT64;A0A8I6ADG6			68
0	0	0	0	0	0				1	1	1	0.8	0.8	0.8	197.71	0.0012825	2.4993	1627300	9	A0A0G2JT65;A0A0G2K2F8	A0A0G2JT65;A0A0G2K2F8			69
0	0	0	0	176850	295140				7	2	2	32.2	11.5	11.5	23.461	0.0012941	2.5728	2585700	14	A0A0G2JT78	A0A0G2JT78			70
542210	589980	468600	600260	592800	0				19	19	16	37.5	37.5	32.9	85.073	0	85.676	50012000	249	A0A8I6GKV3;A0A0G2JT93;Q9WU82	A0A8I6GKV3;A0A0G2JT93;Q9WU82	Catenin beta-1	Ctnnb1	71
0	0	0	0	0	0				3	1	1	12.5	5	5	42.929	0.0003973	4.8749	8712000	29	A0A8I6GGH0;A0A8I6A8N6;A0A0G2JTA0;Q5BK32	A0A8I6GGH0;A0A8I6A8N6;A0A0G2JTA0;Q5BK32	FAS-associated factor 2	Faf2	72
0	0	0	0	0	0				4	4	3	14	14	10.5	50.346	0	9.2637	4495000	18	D3ZHI9;A0A8I6GLY3;A0A0G2JTA1;A0A8I5ZMG6;A0A8I6A9W8	D3ZHI9;A0A8I6GLY3;A0A0G2JTA1;A0A8I5ZMG6;A0A8I6A9W8		Ppp2r5e	73
0	0	0	0	0	0				2	2	2	2.2	2.2	2.2	151.17	0.0012912	2.5579	1556400	6	A0A8I5ZS80;A0A0G2JTD1;A0A8I6AHR3	A0A8I5ZS80;A0A0G2JTD1;A0A8I6AHR3			74
0	0	0	0	0	0				8	6	6	10.5	8.4	8.4	156.5	0	18.936	7114100	38	A0A0G2JTD7;F1LNR1;A0A1B0GWM1;A0A8I5ZL32;F1LNR0;F1LNQ9;A0A0G2JUI5;A0A8I6AEZ5;A0A1B0GWS3	A0A0G2JTD7;F1LNR1;A0A1B0GWM1;A0A8I5ZL32;F1LNR0;F1LNQ9;A0A0G2JUI5;A0A8I6AEZ5;A0A1B0GWS3		Clasp1	75
0	1431000	1937000	0	0	1939700				7	7	7	71.1	71.1	71.1	10.4	0	13.434	34169000	117	A0A0G2JTG1;A0A8I5ZMY9;P26772;A0A8I6A3Z7	A0A0G2JTG1;A0A8I5ZMY9;P26772	10 kDa heat shock protein, mitochondrial	Hspe1	76
0	0	0	0	0	0				2	2	2	14.9	14.9	14.9	34.662	0	16.821	1071300	8	A0A0G2K5L2;A0A0G2JTG5;Q5FVG4	A0A0G2K5L2;A0A0G2JTG5;Q5FVG4		LOC100911440	77
0	0	0	0	0	0				57	1	1	35.1	0.7	0.7	285.44	0.00038417	4.4097	2559000	15	A0A0G2JTH0;A0A0G2K1Y8;A0A8I5ZKH2;A0A8I6GKA3	A0A0G2JTH0;A0A0G2K1Y8;A0A8I5ZKH2;A0A8I6GKA3			78
358060	578670	0	504500	522040	0				7	7	7	14.7	14.7	14.7	74.842	0	15.006	17775000	85	A0A0G2JTI7;D3ZI99;A0A8I6GK69	A0A0G2JTI7;D3ZI99		Prpf3	79
0	0	0	0	0	0				2	2	2	2.1	2.1	2.1	107.33	0.00069589	3.2629	1404400	8	A0A8I6A4U4;A0A0G2JTI8;P50123	A0A8I6A4U4;A0A0G2JTI8;P50123	Glutamyl aminopeptidase	Enpep	80
0	0	0	0	0	0				1	1	1	3.1	3.1	3.1	44.763	0.006006	1.9577	167970	1	A0A8I5ZZ06;A0A0G2JTJ5;A0A8I6AJK5;F1M9C7;Q5XIK8	A0A8I5ZZ06;A0A0G2JTJ5;A0A8I6AJK5;F1M9C7;Q5XIK8	CTD small phosphatase-like protein 2	Ctdspl2	81
0	0	0	0	0	0				6	3	3	14.4	7.4	7.4	66.975	0.0015649	2.3076	1611800	6	A0A8I6A0K7;A0A0G2JTK6;A0A8I5ZYK6;D3ZPH3	A0A8I6A0K7;A0A0G2JTK6;A0A8I5ZYK6;D3ZPH3		Mta3	82
266000	523950	762530	337760	711590	1099800				22	22	22	25.8	25.8	25.8	130.03	0	54.306	61079000	368	A0A8I6A5A2;A0A8I6AH57;A0A0G2JTL5;P52873	A0A8I6A5A2;A0A8I6AH57;A0A0G2JTL5;P52873	Pyruvate carboxylase, mitochondrial	Pc	83
0	0	0	275300	243920	0				2	2	2	10.6	10.6	10.6	29.225	0	6.8892	4291800	28	A0A8I6AQI2;A0A0G2JTP7;A0A8I6GLZ9;Q4KLY4	A0A8I6AQI2;A0A0G2JTP7;A0A8I6GLZ9;Q4KLY4	E3 ubiquitin-protein ligase RING2	Rnf2	84
616190	610590	0	1002000	1008700	0				3	3	3	19.4	19.4	19.4	20.823	0	7.7958	38603000	123	A0A8I6AUQ8;A0A8I5ZSS4;A0A0G2JTS3;B2RZ78	A0A8I6AUQ8;A0A8I5ZSS4;A0A0G2JTS3;B2RZ78	Vacuolar protein sorting-associated protein 29	Vps29	85
827990	657880	0	846530	1557800	574350				12	12	1	25.5	25.5	5	71.611	0	39.4	42654000	183	A0A0G2JTT2;A0A1B0GWY4;A0A8I5Y4X7	A0A0G2JTT2;A0A1B0GWY4			86
0	0	0	0	0	0				2	2	2	20.3	20.3	20.3	19.747	0	6.2524	1077600	6	A0A8I6ANI9;Q5BK72;A0A0G2JTT4	A0A8I6ANI9;Q5BK72;A0A0G2JTT4		Rab30	87
0	592210	0	0	259160	0				7	7	7	16.1	16.1	16.1	58.963	0	6.8814	5576600	23	D4ABZ7;A0A8I5ZKJ1;A0A0G2JTT7;A0A8I6APD0	D4ABZ7;A0A8I5ZKJ1;A0A0G2JTT7;A0A8I6APD0		Arhgap22	88
1373000	1355400	3958000	911830	4609200	1713400				14	14	2	29	29	3.3	59.564	0	73.256	120500000	273	A0A8I6A6T4;A0A0G2JTV2;A0A8I6GCL3;A0A8I6GEY4	A0A8I6A6T4;A0A0G2JTV2;A0A8I6GCL3;A0A8I6GEY4			89
468890	0	0	595920	478620	0				4	4	4	27.5	27.5	27.5	19.434	0	10.662	17855000	72	A0A0G2JTX2	A0A0G2JTX2			90
0	0	0	0	0	0				3	3	3	13	13	13	41.472	0	6.0359	2540600	10	F1LRK4;A0A0G2JTY6;A0A8I6G4I5	F1LRK4;A0A0G2JTY6;A0A8I6G4I5		Grsf1	91
651950	717220	0	437270	378930	806670				19	19	19	28	28	28	109.13	0	40.32	34870000	150	E9PTJ8;A0A0G2JU01;Q9Z1I6;A0A0G2K446	E9PTJ8;A0A0G2JU01;Q9Z1I6;A0A0G2K446	Rho guanine nucleotide exchange factor 1	Arhgef1	92
1088700	1199400	878390	1544900	1137500	1204700				19	19	10	47.9	47.9	25.4	50.464	0	187.64	170940000	606	A0A0G2JU03;A0A0G2JY68	A0A0G2JU03;A0A0G2JY68			93
311230	383150	0	0	237990	0				4	4	4	11.2	11.2	11.2	52.001	0	10.925	6596900	27	A0A8I6A5D7;D3ZFD2;A0A0G2JU25;A0A8I6AKA3;A0A8I5Y554;A0A8I6AU26	A0A8I6A5D7;D3ZFD2;A0A0G2JU25;A0A8I6AKA3;A0A8I5Y554;A0A8I6AU26	Polypeptide N-acetylgalactosaminyltransferase	Galnt2	94
0	0	0	0	0	0				2	2	2	5.1	5.1	5.1	56.115	0.0060205	1.9767	6166300	4	F1LYK6;A0A8I5ZMD1;A0A0G2JU45	F1LYK6;A0A8I5ZMD1;A0A0G2JU45	tRNA (guanine(37)-N1)-methyltransferase	Trmt5	95
0	0	0	0	0	0				2	2	2	7.4	7.4	7.4	48.443	0	6.9689	4764000	27	B0BN02;A0A0G2JU49	B0BN02;A0A0G2JU49		Mtx1	96
381200	351040	0	336450	310450	0				5	5	5	18.2	18.2	18.2	64.417	0	7.2794	12365000	57	A0A8I5ZTJ3;F1LQX9;A0A0G2JU66;Q9ES54	A0A8I5ZTJ3;F1LQX9;A0A0G2JU66;Q9ES54	Nuclear protein localization protein 4 homolog	Nploc4	97
243070	434080	266160	269380	296860	361750				19	19	19	15.3	15.3	15.3	225.67	0	78.226	35471000	208	A0A0G2JU73;A0A8I6AHN4;F1LP64;A0A0A0MXY4;A0A1W2Q676	A0A0G2JU73;A0A8I6AHN4;F1LP64;A0A0A0MXY4;A0A1W2Q676	E3 ubiquitin-protein ligase TRIP12	Trip12	98
